2016-06-13 15:41:13.0751|WARN|thread: 1|StandardUserErrors|Showing user error Failed to create a new commit.
GitHub.IO.ProcessException: error: open("~$Data.xlsx"): Permission denied
error: unable to index file ~$Data.xlsx
fatal: adding files failed
2016-06-13 14:42:01.1463|INFO|thread:20|GitEnvironment|PATH is C:\Users\Ogni\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\cmd;C:\Users\Ogni\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\usr\bin;C:\Users\Ogni\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\usr\share\git-tfs;C:\Users\Ogni\AppData\Local\Apps\2.0\A3J9CYBA.8AC\VRC24TAM.K91\gith..tion_317444273a93ac29_0003.0000_20a3dfa4ba8ba894;C:\Users\Ogni\AppData\Local\GitHub\lfs-amd64_1.1.0;C:\WINDOWS\Microsoft.NET\Framework\v4.0.30319;C:\WINDOWS\System32
2016-06-13 14:42:01.1463|INFO|thread:20|ProcessWrapper|Starting: Process - FileName: 'C:\Users\Ogni\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\cmd\git.exe', Args: 'diff-tree --root -m -r -z --numstat 1e7b9255be8921b80fb5cf4c9511a8151eff886a ', Working Directory: C:\Users\Ogni\Documents\GitHub\ahsdrones\
2016-06-13 14:42:01.1984|INFO|thread:18|GitEnvironment|Process set up with this SSH Agent info: 56944:/tmp/ssh-hBYqb64ITIOH/agent.50608
2016-06-13 14:42:01.1984|INFO|thread:18|GitEnvironment|PATH is C:\Users\Ogni\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\cmd;C:\Users\Ogni\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\usr\bin;C:\Users\Ogni\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\usr\share\git-tfs;C:\Users\Ogni\AppData\Local\Apps\2.0\A3J9CYBA.8AC\VRC24TAM.K91\gith..tion_317444273a93ac29_0003.0000_20a3dfa4ba8ba894;C:\Users\Ogni\AppData\Local\GitHub\lfs-amd64_1.1.0;C:\WINDOWS\Microsoft.NET\Framework\v4.0.30319;C:\WINDOWS\System32
2016-06-13 14:42:01.1984|INFO|thread:18|ProcessWrapper|Starting: Process - FileName: 'C:\Users\Ogni\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\cmd\git.exe', Args: 'diff-tree --root -m -r -z --name-status 1e7b9255be8921b80fb5cf4c9511a8151eff886a ', Working Directory: C:\Users\Ogni\Documents\GitHub\ahsdrones\
2016-06-13 14:42:01.2459|INFO|thread:18|GitEnvironment|Process set up with this SSH Agent info: 56944:/tmp/ssh-hBYqb64ITIOH/agent.50608
2016-06-13 14:42:01.2459|INFO|thread:18|GitEnvironment|PATH is C:\Users\Ogni\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\cmd;C:\Users\Ogni\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\usr\bin;C:\Users\Ogni\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\usr\share\git-tfs;C:\Users\Ogni\AppData\Local\Apps\2.0\A3J9CYBA.8AC\VRC24TAM.K91\gith..tion_317444273a93ac29_0003.0000_20a3dfa4ba8ba894;C:\Users\Ogni\AppData\Local\GitHub\lfs-amd64_1.1.0;C:\WINDOWS\Microsoft.NET\Framework\v4.0.30319;C:\WINDOWS\System32
2016-06-13 14:42:01.2459|INFO|thread:18|ProcessWrapper|Starting: Process - FileName: 'C:\Users\Ogni\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\cmd\git.exe', Args: 'diff-tree --root -m -r -z --numstat 1e7b9255be8921b80fb5cf4c9511a8151eff886a ', Working Directory: C:\Users\Ogni\Documents\GitHub\ahsdrones\
2016-06-13 14:42:01.5621|INFO|thread: 1|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 20 at ICommittedFileForklift.cs:59
2016-06-13 14:42:01.5621|INFO|thread:20|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 20 at ICommittedFileForklift.cs:59 after waiting 0.0019332s
2016-06-13 14:42:01.5971|INFO|thread: 1|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 21 at ICommittedFileForklift.cs:59
2016-06-13 14:42:01.6151|INFO|thread:13|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 21 at ICommittedFileForklift.cs:59 after waiting 0.0177656s
2016-06-13 14:42:01.6151|INFO|thread: 4|AsyncReaderWriterLock|Released concurrent scheduler for operation: 18 at GitClient.cs:404 after blocking 0.5544665s
2016-06-13 14:42:01.6277|INFO|thread: 1|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 22 at ICommittedFileForklift.cs:59
2016-06-13 14:42:01.6372|INFO|thread:38|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 22 at ICommittedFileForklift.cs:59 after waiting 0.0097542s
2016-06-13 14:42:01.6372|INFO|thread: 1|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 23 at ICommittedFileForklift.cs:59
2016-06-13 14:42:01.6752|INFO|thread:39|AsyncReaderWriterLock|Released concurrent scheduler for operation: 19 at GitClient.cs:404 after blocking 0.5898803s
2016-06-13 14:42:01.6752|INFO|thread:18|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 23 at ICommittedFileForklift.cs:59 after waiting 0.0313769s
2016-06-13 14:42:01.6847|INFO|thread: 4|AsyncReaderWriterLock|Released concurrent scheduler for operation: 21 at ICommittedFileForklift.cs:59 after blocking 0.0692428s
2016-06-13 14:42:01.6847|INFO|thread:40|AsyncReaderWriterLock|Released concurrent scheduler for operation: 22 at ICommittedFileForklift.cs:59 after blocking 0.0591305s
2016-06-13 14:42:01.6972|INFO|thread: 9|AsyncReaderWriterLock|Released concurrent scheduler for operation: 20 at ICommittedFileForklift.cs:59 after blocking 0.133093s
2016-06-13 14:42:01.7137|INFO|thread:35|AsyncReaderWriterLock|Released concurrent scheduler for operation: 23 at ICommittedFileForklift.cs:59 after blocking 0.0385862s
2016-06-13 14:42:05.5342|INFO|thread: 1|SelectedCommitViewModel|Took 4484ms to load files for commit 1e7b925 in repo C:\Users\Ogni\Documents\GitHub\ahsdrones
2016-06-13 14:42:05.5342|INFO|thread: 1|SelectedCommitViewModel|Took 4455ms to load files for commit 1e7b925 in repo C:\Users\Ogni\Documents\GitHub\ahsdrones
2016-06-13 14:43:01.0855|INFO|thread: 1|RepositoryHost|Log in from cache for login 'OgniG' to host 'https://api.github.com/' SUCCEEDED
2016-06-13 14:43:01.1070|INFO|thread: 1|AsyncReaderWriterLock|Acquiring exclusive scheduler for operation 24 at BranchSynchronizer.cs:238
2016-06-13 14:43:01.1070|INFO|thread:38|AsyncReaderWriterLock|Acquired exclusive scheduler for operation: 24 at BranchSynchronizer.cs:238 after waiting 0.0001049s
2016-06-13 14:43:01.1926|INFO|thread:19|GitEnvironment|Process set up with this SSH Agent info: 56944:/tmp/ssh-hBYqb64ITIOH/agent.50608
2016-06-13 14:43:01.1926|INFO|thread:19|GitEnvironment|PATH is C:\Users\Ogni\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\cmd;C:\Users\Ogni\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\usr\bin;C:\Users\Ogni\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\usr\share\git-tfs;C:\Users\Ogni\AppData\Local\Apps\2.0\A3J9CYBA.8AC\VRC24TAM.K91\gith..tion_317444273a93ac29_0003.0000_20a3dfa4ba8ba894;C:\Users\Ogni\AppData\Local\GitHub\lfs-amd64_1.1.0;C:\WINDOWS\Microsoft.NET\Framework\v4.0.30319;C:\WINDOWS\System32
2016-06-13 14:43:01.1926|INFO|thread:19|ProcessWrapper|Starting: Process - FileName: 'C:\Users\Ogni\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\cmd\git.exe', Args: 'pull --progress --rebase --prune origin master ', Working Directory: C:\Users\Ogni\Documents\GitHub\ahsdrones\
2016-06-13 14:43:03.9949|INFO|thread:36|GitEnvironment|Process set up with this SSH Agent info: 56944:/tmp/ssh-hBYqb64ITIOH/agent.50608
2016-06-13 14:43:03.9949|INFO|thread:36|GitEnvironment|PATH is C:\Users\Ogni\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\cmd;C:\Users\Ogni\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\usr\bin;C:\Users\Ogni\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\usr\share\git-tfs;C:\Users\Ogni\AppData\Local\Apps\2.0\A3J9CYBA.8AC\VRC24TAM.K91\gith..tion_317444273a93ac29_0003.0000_20a3dfa4ba8ba894;C:\Users\Ogni\AppData\Local\GitHub\lfs-amd64_1.1.0;C:\WINDOWS\Microsoft.NET\Framework\v4.0.30319;C:\WINDOWS\System32
2016-06-13 14:43:03.9949|INFO|thread:36|ProcessWrapper|Starting: Process - FileName: 'C:\Users\Ogni\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\cmd\git.exe', Args: 'pull --progress --prune origin master ', Working Directory: C:\Users\Ogni\Documents\GitHub\ahsdrones\
2016-06-13 14:43:09.3505|INFO|thread:37|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 25 at RepositoryModel.cs:596
2016-06-13 14:43:09.3555|INFO|thread:35|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 26 at GitClient.cs:290
2016-06-13 14:43:09.3555|INFO|thread:44|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 25 at RepositoryModel.cs:596 after waiting 0.0083816s
2016-06-13 14:43:09.3555|INFO|thread:38|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 26 at GitClient.cs:290 after waiting 0.0035841s
2016-06-13 14:43:09.3555|INFO|thread: 1|BranchSynchronizer|Completing sync for C:\Users\Ogni\Documents\GitHub\ahsdrones - master
2016-06-13 14:43:09.3555|INFO|thread: 1|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 27 at RepositoryViewModel.cs:336
2016-06-13 14:43:09.3555|INFO|thread: 1|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 28 at GitClient.cs:201
2016-06-13 14:43:09.3555|INFO|thread: 1|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 29 at RepositoryModel.cs:596
2016-06-13 14:43:09.3555|INFO|thread: 1|BranchSynchronizer|Took 8261ms to sync repository C:\Users\Ogni\Documents\GitHub\ahsdrones - master
2016-06-13 14:43:09.3730|INFO|thread:44|AsyncReaderWriterLock|Released concurrent scheduler for operation: 25 at RepositoryModel.cs:596 after blocking 0.0142251s
2016-06-13 14:43:09.3730|INFO|thread:44|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 27 at RepositoryViewModel.cs:336 after waiting 0.010644s
2016-06-13 14:43:09.3730|INFO|thread:41|AsyncReaderWriterLock|Released exclusive scheduler for operation: 24 at BranchSynchronizer.cs:238 after blocking 8.2717076s
2016-06-13 14:43:09.3730|INFO|thread:41|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 28 at GitClient.cs:201 after waiting 0.0158779s
2016-06-13 14:43:09.3905|INFO|thread:38|GitEnvironment|Process set up with this SSH Agent info: 56944:/tmp/ssh-hBYqb64ITIOH/agent.50608
2016-06-13 14:43:09.3905|INFO|thread:38|GitEnvironment|PATH is C:\Users\Ogni\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\cmd;C:\Users\Ogni\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\usr\bin;C:\Users\Ogni\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\usr\share\git-tfs;C:\Users\Ogni\AppData\Local\Apps\2.0\A3J9CYBA.8AC\VRC24TAM.K91\gith..tion_317444273a93ac29_0003.0000_20a3dfa4ba8ba894;C:\Users\Ogni\AppData\Local\GitHub\lfs-amd64_1.1.0;C:\WINDOWS\Microsoft.NET\Framework\v4.0.30319;C:\WINDOWS\System32
